wing	0.106 90.964 3.766 0.026 0.138
wine	0.092 861.944 524.794 0.152 0.018
androids	0.002 0.01 5.962 0.016 0.01
vezzo	0.006 17.946 0.018 0.014 0.016
50_1800	0.002 0.364 2.462 0.012 0.16
50_1806	33.624 0.046 74.322 0.008 0
welcomes	1.164 2.972 0.03 0.748 3.086
benign	0.068 0.234 0.294 0.244 0.16
fix	0.03 132.56 0.976 1.844 108.59
1078_1249	1.032 3.48 0.07 0.152 2.266
2034	0.06 4.392 6.87 50.672 0.006
fig	0.048 62.886 0.036 0.016 0.014
fuddruckers	0.202 0.028 0.01 14.674 0.086
hidden	0.054 45.864 0.058 0.012 0.012
easier	0.886 0.054 0.596 0.018 52.446
oooooohh	0.056 0.266 0.316 0.224 0.138
colombo's	0.056 0.254 0.332 0.218 0.14
barcade	0.018 0.028 91.868 0.06 0.026
lembanon	0.064 0.248 0.266 0.42 1.002
1244_1806	0.148 16.156 32.738 8.876 0.082
719_1627	0.02 21.82 0.018 8.108 0.034
1244_1804	0.028 2.768 3.05 0.132 0.022
braised	0.014 12.504 0.102 0.374 0.006
township	40.04 0.274 0.022 130.65 0.014
sixteen	0.084 3.44 1.03 0.036 2.41
silver	120.622 0.028 58.838 2.504 0.008
1244_1808	0.018 0.022 0.098 15.83 0.032
razorfish	73.846 0.032 0.016 0.004 0.102
744_2117	0.002 0.036 0.096 10.706 0.16
abrons	0.002 0 9.94 0.046 0.012
20_1303	0.03 162.84 0.012 108.938 0.18
20_1300	0.04 0.268 71.174 73.68 8.838
westmount	0.022 0.014 0.076 17.882 0.006
angolo	0.004 0.588 2.04 1.366 0.002
commons	2.152 193.38 0.016 32.436 0.016
1236_1372	0.046 0.026 7.02 0.086 1.822
1145_1243	2.274 52.532 0.056 0.104 0.034
2303	0.002 0.01 0.064 1.324 202.6
2302	0.054 98.276 66.294 0.486 146.89
whobyyou	5.998 0.126 0.128 0.066 3.682
2304	0.082 4.794 0.228 16.792 0.104
1145_1249	0 5.564 7.066 7.362 0.008
smh	0.012 0.044 50.866 0.15 45.928
1798_1600	0.06 0.288 0.29 0.24 0.122
1806_2471	0.594 0.942 0.112 0.488 0.864
frenchie	0.24 1.672 1.92 0.796 0.372
foundation	23.352 98.98 35.268 0.01 32.39
2794_2721	0.086 0.024 0.01 0.04 19.84
potachoes	0.052 0.274 0.286 0.216 0.172
127_344	0.066 0.27 0.296 0.234 0.134
ate	50.758 40.594 39.556 1.544 0.548
atm	0.204 23.338 0.054 13.97 0.434
2147_2037	0.046 0.27 0.3 0.226 0.158
168_1325	0.036 1.182 2.65 0.776 19.356
today's	1.814 0.072 0.006 1.646 166.462
loudness	0.09 0.274 0.304 0.22 0.112
lupe's	0.02 6.912 0.044 0.01 0.014
tollway	0.248 0.258 0.666 0.386 0.442
nigel	0.056 1.206 0.114 0.236 5.388
shoppes	2.014 0.004 0.562 4.798 6.622
sheboygan	0.136 0.14 0.368 0.282 1.074
veggie	1.096 111.758 0.054 0.082 0.01
wash	93.332 0.014 0.01 150.582 0.062
kfc	0.468 71.306 0.146 0.064 0.016
176	1.662 1.39 82.176 0.004 172.768
service	357.064 1.8 171.012 148.116 275.008
lego	0.146 0.018 0.008 40.638 0.19
ukehaxhaj	0.054 0.282 0.192 1.332 0.14
engagement	0.036 0.014 3.228 71.642 0.08
needed	2.996 176.064 2.44 0.14 131.36
master	0.344 1.482 29.446 0.264 37.464
blossoms	0.032 0.026 0.214 12.658 0.07
74_1811	0.072 0.298 0.31 0.208 0.112
legs	0.524 6.372 0.332 3.234 77.538
genesis	0.204 18.816 8.78 0.192 0.008
listen	3.56 0.03 38.622 0.006 68.782
roseland	0.292 0.544 171.188 0.016 64.96
3139_1303	0.076 0.274 0.298 0.228 0.124
1810_1806	0.17 5.356 4.076 4.236 0.162
1780_1222	61.86 0.078 0.022 0.006 0.034
